Time,Open,High,Low,Close,Volume,EMA9,EMA21,EMA220
2012-12-30,17:21:00,4323.5,4323.75,4323.25,4323.5,19,4323.66503824493,4322.29011793893,4318.87143055653
2012-12-30,17:22:00,4323.25,4323.25,4323.25,4323.25,11,4323.58203059594,4322.37737994448,4318.91105561937
2012-12-30,17:23:00,4323.25,4324,4323.25,4323.5,27,4323.56562447676,4322.47943631317,4318.95258452779
2012-12-30,17:24:00,4323.25,4323.25,4323.25,4323.25,1,4323.5024995814,4322.54948755742,4318.99147516555
2012-12-30,17:25:00,4323,4323,4323,4323,1,4323.40199966512,4322.59044323402,4319.02775140839
2012-12-30,17:26:00,4323,4323,4322.25,4322.75,8,4323.2715997321,4322.60494839456,4319.06143691601
2012-12-30,17:27:00,4322.75,4323.5,4322.75,4323.25,13,4323.26727978568,4322.6635894496,4319.09934246428
2012-12-30,17:30:00,4323.25,4323.25,4323,4323,8,4323.21382382854,4322.69417222691,4319.13464253248
2012-12-30,17:31:00,4323,4323,4323,4323,5,4323.17105906284,4322.72197475174,4319.16962314304
2012-12-30,17:32:00,4323,4323,4322.75,4322.75,14,4323.08684725027,4322.72452250158,4319.20202474356
2012-12-30,17:33:00,4322.75,4323,4322.5,4323,12,4323.06947780022,4322.74956591053,4319.23639556036
2012-12-30,17:34:00,4322.5,4322.5,4322,4322,12,4322.85558224017,4322.68142355502,4319.26140555529
2012-12-30,17:35:00,4321.75,4322,4321.25,4321.25,21,4322.53446579214,4322.55129414093,4319.27940188511
2012-12-30,17:36:00,4321.25,4321.25,4320.25,4320.25,33,4322.07757263371,4322.34208558266,4319.28818557845
2012-12-30,17:37:00,4320.25,4320.25,4318.25,4318.25,124,4321.31205810697,4321.97007780242,4319.27879023385
2012-12-30,17:38:00,4318.25,4319.5,4318.25,4318.75,93,4320.79964648558,4321.67734345675,4319.27400480187
2012-12-30,17:39:00,4318.75,4320,4318.75,4320,52,4320.63971718846,4321.52485768795,4319.28057489416
2012-12-30,17:40:00,4320,4320,4320,4320,7,4320.51177375077,4321.38623426177,4319.28708552861
2012-12-30,17:41:00,4320.25,4321.5,4320.25,4320.25,22,4320.45941900061,4321.28294023798,4319.29579968672
2012-12-30,17:42:00,4320.75,4320.75,4320.25,4320.25,14,4320.41753520049,4321.18903657998,4319.30443498367
2012-12-30,17:43:00,4320.75,4320.75,4320.75,4320.75,2,4320.48402816039,4321.14912416362,4319.31751702002
